time;tip
2;Старайтесь кормить малыша по требованию — это помогает формировать здоровый режим.
2;Чаще держите ребёнка на руках — контакт и тепло родителей очень важны.
2;Кладите малыша на живот несколько раз в день по 1–2 минуты — укрепляются мышцы шеи и спины.
2;Следите, чтобы малыш спал только на спине и без подушек в кроватке.
2;Говорите спокойным голосом, малыш уже различает интонации.
2;Показывайте яркие предметы на расстоянии 20–30 см — зрение активно развивается.
2;Слушайте вместе тихую музыку или пойте колыбельные.
2;Улыбайтесь чаще — ребёнок начинает отвечать «социальной улыбкой».
2;Фиксируйте новые реакции и достижения на фото или в дневнике.
2;Регулярно гуляйте на свежем воздухе — это укрепляет иммунитет и улучшает сон.
2;Следите за температурой в комнате — оптимально 20–22 °C.
2;Используйте лёгкий массаж — поглаживайте ручки и ножки.
3;Включайте спокойные мелодии или пойте сами – голос мамы самый любимый.
3;Главное – чаще обнимать и говорить: «Я тебя люблю».
3;Гладьте малыша, улыбайтесь, разговаривайте – это формирует чувство безопасности.
3;Говорите с малышом медленно и спокойно – он уже различает интонации.
3;Делайте лёгкий массаж ножек и ручек, улучшая кровообращение и контакт.
3;Ежедневно выходите на свежий воздух – это полезно и для сна, и для иммунитета.
3;Избегайте перегрева – слишком тёплая одежда вреднее лёгкого холода.
3;Используйте мягкие слюнявчики, чтобы кожа подбородка не раздражалась.
3;Используйте простые погремушки – ребёнок начинает тянуться к предметам.
3;Кладите ребёнка на живот 3–4 раза в день по 3–5 минут, чтобы укреплять мышцы.
3;Кладите ребёнка только на спину, без подушек и игрушек в кроватке.
3;Кормите по требованию – в этом возрасте грудное молоко или смесь остаются главным источником питания.
3;Купайте малыша в тёплой воде (36–37°C), делая процесс спокойным и приятным.
3;Меняйтесь ролями – малышу важен контакт и с мамой, и с папой.
3;Может появляться слюнотечение – это норма и не всегда связано с зубами.
3;Не забывайте о профилактике рахита – давайте витамин D (по рекомендации врача).
3;Не забывайте о себе – отдых родителей важен для здоровья ребёнка.
3;Несколько минут в день держите малыша на груди без одежды – это укрепляет связь и успокаивает.
3;Одевайте по принципу «на один слой больше, чем на взрослого».
3;Отвечайте на «социальную улыбку» – это важно для эмоционального развития.
3;Отвечайте на гуление – диалог помогает развитию речи.
3;Плач – это способ общения, старайтесь понимать его причины: голод, усталость, дискомфорт.
3;Показывайте гримасы – ребёнок учится повторять мимику.
3;Показывайте яркие игрушки на расстоянии 20–30 см – зрение активно развивается.
3;Следите за весом и ростом – регулярные прибавки важный показатель развития.
3;Следите за календарём прививок – это важная защита.
3;Старайтесь укладывать малыша спать в одно и то же время – это формирует режим.
3;Фиксируйте время сна, бодрствования и кормления – это упрощает уход.
3;Фиксируйте новые умения – скоро ребёнок начнёт переворачиваться.
3;Шуршите бумагой или звените колокольчиком – малыш учится поворачивать голову на звук.
4;Включайте разные бытовые звуки: стук посуды, журчание воды ребёнок учится их различать.
4;Готовьте спокойную атмосферу для сна: приглушённый свет, тихий голос, отсутствие резких звуков.
4;Гуляйте в разное время суток, чтобы малыш видел и дневной, и вечерний свет.
4;Давайте ребёнку возможность хватать игрушки – мелкая моторика активно развивается.
4;Делайте лёгкую гимнастику: аккуратно сгибайте ручки и ножки, имитируя движения.
4;Если малыш тянет всё в рот это нормально, так он исследует мир.
4;Заведите несколько мягких игрушек ребёнок начнёт узнавать «своих друзей».
4;Задействуйте разные позиции: держите на руках лицом к себе, на плече, лицом вперёд.
4;Знакомьте ребёнка с разными тканями мягкая, шероховатая, гладкая материя.
4;Используйте разноцветные погремушки контрастные цвета лучше воспринимаются.
4;Малыш всё дольше бодрствует используйте это время для общения, а не только ухода.
4;Начинайте короткие игры с простыми правилами: «ку-ку», хлопки ладошами.
4;Начинайте показывать малышу своё отражение в зеркале это вызывает интерес.
4;Обнимайте и прижимайте к себе чаще так малыш чувствует себя защищённым.
4;Поддерживайте зрительный контакт, когда кормите это укрепляет доверие.
4;Помните про витамин D и советы педиатра по профилактике рахита.
4;При купании добавляйте игрушки в воду это помогает развивать интерес и внимание.
4;Проводите короткие «занятия»: тяните игрушку чуть дальше, чтобы малыш старался дотянуться.
4;Продолжайте выкладывать малыша на живот, теперь можно увеличивать время до 10–15 минут несколько раз в день.
4;Развивайте слух пойте разные по темпу и громкости песни.
4;Разговаривайте не только с «детской интонацией», но и спокойным взрослым голосом это расширяет восприятие речи.
4;Разговаривайте чаще, делайте паузы малыш начинает «отвечать» лепетом.
4;Следите за зрением: показывайте игрушки разного цвета и формы, перемещайте их из стороны в сторону.
4;Следите за первыми попытками переворота создавайте безопасное пространство.
4;Следите за прибавкой веса и ростом темпы могут немного меняться, это нормально.
4;Сохраняйте безопасную среду ребёнок уже может неожиданно перекатиться.
4;Сохраняйте режим семьи: малыш чувствует ритм дня и постепенно к нему привыкает.
4;Старайтесь укладывать спать в более предсказуемом ритме формируется цикл сна.
4;Улыбайтесь и ждите ответной улыбки в этом возрасте она становится осознанной.
4;Читайте вслух короткие сказки или стишки ритм речи важен для восприятия.
5;Вводите разные позы: носите вертикально, лицом вперёд, на руках боком.
5;Во время бодрствования играйте «ку-ку» и прятки за руками — это учит постоянству предметов.
5;Во время купания предлагайте малышу брызгать и играть с водой.
5;Водите ребёнка за ручки, помогая встать — это укрепляет мышцы.
5;Главное — больше обнимайте и хвалите, малыш чувствует любовь и уверенность.
5;Говорите простые слова: «мама», «папа» — ребёнок начинает прислушиваться.
5;Если малыш кусает при кормлении — мягко убирайте грудь и объясняйте.
5;Занимайтесь короткой гимнастикой: сгибайте и разгибайте ножки, ручки.
5;Знакомьте ребёнка с новыми предметами дома, называя их.
5;Используйте музыкальные игрушки — они стимулируют слух и ритмику движений.
5;Малыш начинает уверенно переворачиваться — всегда следите, чтобы он был на безопасной поверхности.
5;Не забывайте о вакцинации и регулярных осмотрах у педиатра.
5;Отмечайте первые попытки сидеть — поддерживайте подушками, но не усаживайте насильно.
5;Показывайте малышу безопасное зеркало — пусть наблюдает за своим отражением.
5;Поощряйте лепет — отвечайте так, будто ведёте настоящий разговор.
5;Поощряйте самостоятельную игру — положите игрушку чуть дальше, чтобы он пытался дотянуться.
5;Приучайте к простому ритуалу отхода ко сну: ванна, пижама, колыбельная.
5;Продолжайте чаще гулять — свежий воздух укрепляет здоровье.
5;Развивайте хватательный рефлекс — предлагайте игрушки разного размера и формы.
5;Разговаривайте спокойным голосом, объясняя, что делаете — малыш начинает понимать логику действий.
5;Следите за гигиеной игрушек — малыш тянет всё в рот.
5;Следите за признаками готовности к прикорму — интерес к еде, тянет еду из рук взрослых.
5;Слушайте вместе спокойную музыку — ритм помогает расслабиться.
5;Соблюдайте безопасное пространство — уберите мелкие предметы с пола.
5;Создавайте разные тактильные ощущения — шероховатое, мягкое, гладкое.
5;Сохраняйте грудное вскармливание или смесь — это всё ещё основное питание.
5;Сохраняйте контакт «глаза в глаза» — это основа доверия.
5;Фиксируйте новые умения на фото или видео — вы увидите быстрый прогресс.
5;Формируйте режим сна — малышу проще засыпать в одно и то же время.
5;Читайте малышу вслух — он начинает различать интонации и ритм речи.
6;Гигиена особенно важна — мойте игрушки чаще, ведь ребёнок тянет всё в рот.
6;Говорите простыми словами и жестами — малыш начинает связывать речь с действиями.
6;Давайте безопасные прорезыватели — в этом возрасте часто начинают резаться зубы.
6;Давайте разные по текстуре игрушки: мягкие, деревянные, силиконовые.
6;Звуки становятся разнообразнее — поощряйте лепет, повторяйте за ребёнком.
6;Знакомьте ребёнка с ложкой, даже если кормите вы.
6;Знакомьте ребёнка с окружающим миром — показывайте деревья, животных, машины.
6;Используйте специальные поильники — знакомство с водой начинается именно сейчас.
6;Малыш учится сидеть — поддерживайте спину подушками, не усаживайте насильно.
6;Начинается период прикорма — вводите новые продукты постепенно, начиная с ? чайной ложки.
6;Не оставляйте ребёнка одного на кровати — риск падения сильно возрастает.
6;Не спешите — развитие у каждого ребёнка идёт в своём темпе, и это нормально.
6;Ночью ребёнок всё ещё может просыпаться для кормления — это нормально.
6;Обеспечьте больше общения с папой и другими членами семьи.
6;Обнимайте и разговаривайте как можно чаще — любовь и внимание важнее любых игрушек.
6;Отмечайте маленькие победы — это поддерживает и родителей, и ребёнка.
6;Поощряйте перевороты и ползание — выкладывайте ребёнка на коврик на полу.
6;Поощряйте социальные игры: «ладушки», «ку-ку», песенки с движениями.
6;Пробуйте петь разные песни — малыш запоминает ритмы и звуки.
6;Проводите больше времени «на полу» вместе с малышом.
6;Продолжайте делать массаж и лёгкую гимнастику для ручек и ножек.
6;Продолжайте ритуалы перед сном — ванна, сказка, колыбельная.
6;Разрешайте малышу трогать еду руками — это часть развития.
6;Регулярно посещайте педиатра и следите за календарём прививок.
6;Следите за реакцией на новые продукты — высыпания, колики или изменения стула.
6;Создавайте пространство для движения — малыш стремится исследовать мир.
6;Сохраняйте грудное вскармливание или смесь как основу питания.
6;Старайтесь кормить ребёнка в одном и том же месте — это создаёт привычку.
6;Устанавливайте безопасную зону дома: убирайте мелкие и острые предметы.
6;Читайте книжки с картинками, показывая и называя предметы.
7;Больше общайтесь лицом к лицу, удерживайте зрительный контакт.
7;Вводите новые овощи и каши, но только по одному продукту за раз.
7;Включайте пальчиковые игры: «сорока-белобока», «ладушки».
7;Во время прикорма не торопите малыша — пусть ест в своём темпе.
7;Выходите на прогулки в разные места, чтобы ребёнок видел новые объекты.
7;Говорите простыми фразами и повторяйте слова — малыш начинает их запоминать.
7;Давайте мягкие кусочки фруктов в ниблере — это безопасно и интересно.
7;Играйте в простые игры с кубиками, пирамидками, мягкими мячиками.
7;Используйте специальные ложки для прикорма, позволяя ребёнку самому пробовать держать её.
7;Используйте стульчик для кормления — это формирует привычку к совместной трапезе.
7;Малыш становится активнее — оставляйте его играть на полу под присмотром.
7;Не сравнивайте своего ребёнка с другими — каждый развивается в своём темпе.
7;Ночные пробуждения становятся реже, но ещё могут быть — это нормально.
7;Показывайте жесты вместе со словами — ребёнок начинает улавливать связь.
7;Поощряйте общение с другими детьми — даже короткий контакт полезен.
7;Поощряйте первые слоги «ма-ма», «па-па», даже если они ещё неосознанные.
7;Поощряйте ползание, создавайте небольшие препятствия для преодоления.
7;Пробуйте давать пюре с небольшой текстурой — малыш учится жевать.
7;Продолжайте делать массаж — это укрепляет мышцы и помогает при активности.
7;Развивайте слух — используйте музыкальные игрушки, колокольчики, барабанчики.
7;Регулярно консультируйтесь с педиатром по питанию и развитию.
7;Следите за безопасностью: малыш может подтягиваться за мебель и падать.
7;Следите за зубами — протирайте дёсны и первые зубки силиконовой щёткой-напальчником.
7;Сохраняйте грудное вскармливание или смесь, прикорм постепенно расширяйте.
7;Сохраняйте ритуалы перед сном, чтобы закрепить режим.
7;Сохраняйте спокойный тон общения — эмоциональный фон родителей очень важен.
7;Убирайте все мелкие предметы — риск проглатывания очень высокий.
7;Учите малыша хлопать в ладоши и махать рукой «пока-пока».
7;Фиксируйте новые умения — это вдохновляет и помогает отслеживать развитие.
7;Читайте книги с яркими картинками и показывайте предметы на страницах.
8;Вводите простые ритуалы игры: собирать и разбирать игрушки.
8;Гуляйте не только в коляске, но и на руках — ребёнку интересно смотреть вокруг.
8;Знакомьте с новыми звуками — стучите по кастрюле, шуршите бумагой.
8;Играйте в «ладушки» и «ку-ку» — это любимые игры в этом возрасте.
8;Используйте поильник для воды — это помогает развитию навыков питья.
8;Используйте ходунки или прыгунки только по рекомендации врача — лучше развивать ползание.
8;Малыш активно ползает — создайте безопасное пространство дома.
8;Начинайте предлагать еду кусочками, если ребёнок готов пробовать жевать.
8;Не давайте сладости и солёные продукты — ЖКТ ещё не готов.
8;Не забывайте обнимать, хвалить и говорить ласковые слова — это главная поддержка.
8;Не оставляйте ребёнка одного в кровати или на диване.
8;Подключайте папу и родственников к играм — ребёнку нужен разный опыт общения.
8;Позвольте ребёнку больше времени проводить на полу — это стимулирует развитие.
8;Пойте песенки с движениями — малыш будет повторять жесты.
8;Показывайте жесты: «пока-пока», «дай», «на» — ребёнок учится их повторять.
8;Поощряйте исследование разных текстур: ткань, дерево, резина.
8;Поощряйте лепет, повторяйте за малышом его слоги.
8;Поощряйте самостоятельное питание — пусть держит ложку, даже если разбрасывает.
8;Прикорм становится разнообразнее — добавляйте мясные пюре.
8;Продолжайте грудное вскармливание или смесь — это основа рациона.
8;Продолжайте массаж и гимнастику — мышцы укрепляются.
8;Развивайте мелкую моторику — предлагайте мягкие кубики, кольца пирамидки.
8;Регулярно консультируйтесь с педиатром о прикорме и развитии.
8;Следите за первыми зубами — ухаживайте щёткой-напальчником.
8;Следите за первыми попытками вставать у опоры — поддерживайте безопасно.
8;Ставьте перед ребёнком безопасное зеркало — он изучает своё отражение.
8;Убирайте провода и закрепляйте мебель — ребёнок начинает тянуться за всё подряд.
8;Фиксируйте достижения: первые попытки вставать, новые звуки, жесты.
8;Формируйте режим сна и бодрствования — малышу легче адаптироваться.
8;Читайте книжки с простыми картинками, называйте предметы.
9;Гуляйте чаще и дольше, позволяя малышу наблюдать за окружающим миром.
9;Давайте игрушки, которые можно складывать и вынимать.
9;Играйте в совместные игры: «ладушки», «ку-ку», пальчиковые игры.
9;Малыш активно ползает и встаёт у опоры — убедитесь, что мебель устойчива.
9;Начинайте предлагать кусочки мягкой пищи — банан, авокадо, отварные овощи.
9;Не забывайте о главном — любовь и внимание остаются основой развития.
9;Не торопите с жеванием — предлагайте продукты подходящей консистенции.
9;Ночные пробуждения могут сохраняться — это нормально.
9;Общайтесь с другими детьми — даже короткий контакт полезен.
9;Поддерживайте развитие через простые бытовые действия — дайте потрогать ложку, тряпку, крышку.
9;Позвольте малышу больше времени проводить на полу — это стимулирует развитие.
9;Поощряйте игры с предметами: кубики, контейнеры, пирамидки.
9;Поощряйте попытки стоять без опоры, но не заставляйте ходить.
9;Продолжайте разнообразный прикорм: овощи, каши, мясо, фрукты.
9;Развивайте мелкую моторику — используйте безопасные сортеры.
9;Развивайте речь — называйте предметы и действия простыми словами.
9;Разговаривайте спокойным голосом, объясняя, что делаете.
9;Ребёнок учится пить из кружки — пробуйте поильники без носика.
9;Регулярно консультируйтесь с педиатром по питанию и развитию.
9;Следите за зубами — используйте детскую щётку для первых чисток.
9;Слушайте вместе песенки и детские стихи.
9;Создайте безопасную игровую зону — малыш всё активнее исследует дом.
9;Сохраняйте грудное вскармливание или смесь — это всё ещё важно.
9;Сохраняйте режим сна — дневной сон всё ещё важен.
9;Сохраняйте спокойную атмосферу — малыш чувствует эмоции родителей.
9;Уберите из зоны доступа бытовую химию и мелкие предметы.
9;Учите махать рукой «пока» и показывать «дай» — развивается социальное общение.
9;Фиксируйте достижения: новые звуки, первые шаги у опоры, новые жесты.
9;Хвалите за новые умения, даже если они совсем маленькие.
9;Читайте книжки с крупными картинками, показывайте и называйте предметы.
10;Гуляйте дольше и позволяйте малышу больше наблюдать за людьми и животными.
10;Давайте больше пищи кусочками, если ребёнок умеет жевать.
10;Играйте в игры на подражание: похлопали, постучали, показали язык.
10;Используйте игрушки-сортиры и пирамидки для развития моторики.
10;Малыш может уверенно вставать у опоры и передвигаться вдоль мебели — следите за безопасностью.
10;Не добавляйте в еду соль и сахар — вкус должен быть естественным.
10;Обеспечивайте эмоциональный контакт: обнимайте, целуйте, хвалите.
10;Обеспечьте свободное пространство для движения и ползания.
10;Перед сном используйте ритуалы: ванна, пижама, спокойная песня.
10;Показывайте новые предметы и называйте их простыми словами.
10;Помните: развитие у всех детей индивидуальное, не торопите события.
10;Поощряйте исследование предметов разной текстуры и формы.
10;Поощряйте первые шаги с поддержкой за руки, но не торопите самостоятельную ходьбу.
10;Поощряйте самостоятельную игру, оставаясь рядом для безопасности.
10;Предлагайте пить из открытой кружки с вашей помощью.
10;Продолжайте грудное вскармливание или смесь по потребности.
10;Продолжайте массаж и лёгкую гимнастику для укрепления мышц.
10;Продолжайте разнообразный прикорм: каши, овощи, мясо, рыба, фрукты.
10;Развивайте понимание речи — просите «дай мяч» или «покажи ручку».
10;Разговаривайте с ребёнком о действиях, которые выполняете.
10;Разрешайте малышу перекладывать предметы из руки в руку.
10;Ребёнок учится есть руками — разрешайте, даже если вокруг беспорядок.
10;Регулярно отмечайте успехи — новые движения, звуки, слова.
10;Слушайте музыку и пойте вместе — малыш начинает повторять звуки и ритмы.
10;Старайтесь говорить простыми словами и фразами, повторяя их каждый день.
10;Убирайте опасные предметы с пола и низких полок.
10;Учите вкладывать игрушки друг в друга: стаканчики, коробочки.
10;Учите показывать «ладушки», «пока-пока», «дай» — формируются первые жесты общения.
10;Формируйте режим сна и бодрствования — малыш легче привыкает к порядку.
10;Читайте книги с яркими картинками, задавайте простые вопросы: «Где мяч?»
11;Гуляйте дольше, позволяя малышу наблюдать за детьми, животными и транспортом.
11;Знакомьте ребёнка с разными поверхностями: трава, песок, ковёр.
11;Играйте в игры на подражание: «ладушки», «ку-ку», махание рукой.
11;Используйте ложку во время кормления — пусть малыш пробует держать её сам.
11;Малыш делает первые шаги у опоры или с поддержкой — поддерживайте, но не форсируйте ходьбу.
11;Не давайте сладости, колбасу и солёные продукты — ЖКТ ещё не готов.
11;Обнимайте и хвалите за успехи — поддержка родителей даёт уверенность.
11;Перед сном используйте ритуал: купание, сказка, колыбельная.
11;Пойте песни с движениями — хлопки, махи руками, приседания.
11;Показывайте бытовые предметы — ложку, расчёску, мяч — и называйте их.
11;Помните: каждый малыш развивается в своём темпе, не сравнивайте его с другими.
11;Поощряйте общение с другими детьми — это развивает социальные навыки.
11;Поощряйте первые слова — повторяйте за малышом звуки и слоги.
11;Поощряйте ползание и вставание у опоры — это укрепляет мышцы.
11;Поощряйте самостоятельную игру — оставляйте простые задания с игрушками.
11;Предлагайте разные текстуры пищи: мягкие кусочки, пюре, каши.
11;Продолжайте предлагать еду кусочками — пусть ребёнок пробует жевать самостоятельно.
11;Развивайте моторику — используйте кубики, пирамидки, контейнеры с крышками.
11;Разговаривайте с малышом спокойным голосом, объясняя, что делаете.
11;Разрешайте малышу помогать в простых делах — держать ложку, протирать игрушку.
11;Регулярно консультируйтесь с педиатром по питанию и развитию.
11;Создайте безопасное пространство — ребёнок активнее исследует дом.
11;Сохраняйте грудное вскармливание или смесь по потребности.
11;Сохраняйте спокойную атмосферу в семье — ребёнок чувствует эмоции родителей.
11;Убирайте мелкие предметы и закрывайте розетки.
11;Учите перекладывать и сортировать предметы по цвету или форме.
11;Учите пить из открытой кружки, поддерживая её руками ребёнка.
11;Фиксируйте новые умения: первые шаги, первые слова, новые жесты.
11;Формируйте режим сна и бодрствования — это помогает спокойному засыпанию.
11;Читайте книги с картинками, спрашивайте: «Где котик?», «Покажи мяч».
12;В рационе всё больше «взрослой» пищи, но без соли, сахара и специй.
12;Гуляйте каждый день, показывайте деревья, животных, машины.
12;Давайте малышу возможность больше двигаться на улице.
12;Зубки требуют ухода — чистите мягкой щёткой дважды в день.
12;Играйте в игры на подражание: помахали руками, покивали головой.
12;Играйте в простые сюжетные игры: кормим куклу, катаем машинку.
12;Используйте простые слова и короткие фразы — малыш начинает их понимать.
12;Не забывайте: развитие у каждого индивидуальное — не сравнивайте малыша с другими.
12;Обеспечьте безопасное пространство дома — ребёнок активнее исследует всё вокруг.
12;Обнимайте и целуйте чаще — первый год заканчивается, а любовь родителей самая важная опора.
12;Позволяйте малышу помогать: держать ложку, убирать игрушки, протирать стол.
12;Пойте вместе песенки, добавляйте движения и хлопки.
12;Показывайте жесты: «нет», «да», «спасибо», «пока» — ребёнок их усваивает.
12;Поощряйте игры с кубиками, пирамидками, коробочками.
12;Поощряйте общение с другими детьми — даже короткий контакт полезен.
12;Поощряйте самостоятельное питание — пусть пробует есть руками и ложкой.
12;Продолжайте ритуалы перед сном — привычный порядок успокаивает.
12;Продолжайте читать книжки с картинками, просите показать знакомые предметы.
12;Развивайте моторику через рисование пальчиками и безопасными мелками.
12;Разговаривайте о действиях: «моем руки», «едим кашу», «идём гулять».
12;Ребёнок может сделать первые самостоятельные шаги — поддерживайте, но не торопите.
12;Регулярно консультируйтесь с педиатром, отмечая развитие ребёнка за год.
12;Слушайте музыку разных жанров, чтобы развивать слух.
12;Сохраняйте грудное вскармливание или смесь, если это комфортно вам и малышу.
12;Старайтесь укладывать спать в одно и то же время.
12;Учите вкладывать предметы друг в друга и строить башни из 2–3 кубиков.
12;Учите малыша простым словам «мама», «папа», «дай», «на».
12;Учите пить из обычной кружки — с вашей помощью или самостоятельно.
12;Фиксируйте новые умения: первые слова, шаги, самостоятельные игры.
12;Хвалите за успехи, даже самые маленькие.
